,TIMESTAMP nan,Air In1 FT305/OUT.CV,Air In2 FT302/OUT.CV,Air T FT305/AI2/OUT.CV,Air P PT312/OUT.CV,Water In1 FT102/OUT.CV,Water In2 FT104/OUT.CV,Water T FT102/AI3/OUT.CV,Water Density  FT102/AI2/OUT.CV,Mixture zone P PT417/OUT.CV,DPriser PT419/DP.CV,riser outlet P PT408/OUT.CV,input topsep valve PIC403/PID1/OUT.CV,P topsep PT403/OUT.CV,FR topsep gas FT404/OUT.CV,FR topsep liquid FT406/OUT.CV,Downcomer Top PT416/OUT.CV,P_3phase PT501/OUT.CV,Air Valve PIC501/PID1/OUT.CV,Water level LI502/OUT.CV,Water coalescer LI503/OUT.CV,Water level valve LVC502-SR/PID1/OUT.CV
2,06/26/2018 11:00,101.6341019,0.000123735,23.26003075,0.659946084,0.001626246,0,25.51152039,997.7487183,0.611567974,0.611567974,0.036373589,100,0.46358189,0.200142205,0.06175828,0.03845758,0.44180119,0,63.5965004,91.46925354,0
3,06/26/2018 11:00,101.7629013,0.00012284,23.24789047,0.662949979,0.001626494,0,25.51152039,997.7484131,0.615641773,0.615641773,0.036374781,100,0.468101114,0.177677199,0.062861197,0.038457818,0.446290314,0,63.59172821,91.49214172,0
4,06/26/2018 11:00,101.721199,0.000121945,23.23575974,0.665953815,0.001626742,0,25.2758503,997.7479858,0.620235384,0.620235384,0.03637597,100,0.472620189,0.247093305,0.063964128,0.03845806,0.450779289,0,63.58695984,91.49767303,0
5,06/26/2018 11:00,101.6448975,0.00012105,23.22361946,0.670465112,0.001626989,0,25.19729042,997.7476196,0.624828875,0.624828875,0.036377169,100,0.477139413,0.270231992,0.065067053,0.038458299,0.455268413,0.140316799,63.5821991,91.49739838,0
6,06/26/2018 11:00,101.5734024,0.000120155,23.21149063,0.675478697,0.001627237,0,25.19729042,997.7473145,0.629422426,0.629422426,0.036378369,100,0.481658608,0.202158093,0.066169977,0.038458541,0.459757507,0.224147603,63.57743073,91.49713898,0
7,06/26/2018 11:00,101.444603,0.00011926,23.19935036,0.680492401,0.001627485,0,25.19729042,997.7468872,0.634524584,0.634524584,0.036379561,100,0.486177802,0.179466799,0.06395907,0.038458779,0.464246601,0.273559213,63.57265854,91.49687195,0
8,06/26/2018 11:00,101.3575974,0.000118365,23.18721962,0.685506105,0.001627733,0,25.19729042,997.746582,0.639796197,0.639796197,0.036380749,100,0.490433902,0.134257495,0.06064355,0.038459022,0.468735605,0.322970688,63.56789017,91.49659729,0
9,06/26/2018 11:00,101.240799,0.00011747,23.17507935,0.69051981,0.00162798,0,25.4093895,997.7462769,0.645067871,0.645067871,0.036381949,100,0.494602293,0.119187698,0.057328042,0.03845926,0.473224699,0.372382194,63.5631218,91.49635315,0
10,06/26/2018 11:00,101.1483994,0.000116575,23.16295052,0.692983091,0.001628228,0,25.48008919,997.7459106,0.647370517,0.647370517,0.036383141,100,0.498770714,0.352168202,0.054012518,0.038459498,0.477713794,0.421793789,63.55834961,91.49607849,0
11,06/26/2018 11:00,101.0697021,0.00011568,23.15081024,0.694596291,0.001628475,0,25.48008919,997.7454834,0.64868331,0.64868331,0.03638434,100,0.502939105,0.429828405,0.05069701,0.038459741,0.482202798,0.471205294,63.55358887,91.49581146,0
