,TIMESTAMP nan,Air In1 FT305/OUT.CV,Air In2 FT302/OUT.CV,Air T FT305/AI2/OUT.CV,Air P PT312/OUT.CV,Water In1 FT102/OUT.CV,Water In2 FT104/OUT.CV,Water T FT102/AI3/OUT.CV,Water Density  FT102/AI2/OUT.CV,Mixture zone P PT417/OUT.CV,riser outlet P PT408/OUT.CV,P topsep PT403/OUT.CV,FR topsep gas FT404/OUT.CV,FR topsep liquid FT406/OUT.CV,P_3phase PT501/OUT.CV,Air Valve PIC501/PID1/OUT.CV,Water level LI502/OUT.CV,Water coalescer LI503/OUT.CV,Water level valve LVC502-SR/PID1/OUT.CV,water tank level LI101/OUT.CV,Air In 1 FIC302/PID1/OUT.CV,Air In 1 FIC302/PID1/SP.CV
2,09/12/2017 10:00,99.7911377,0.002018351,16.46453094,1.157050967,0.00014997,0.008798941,18.75638962,998.2576294,1.131950021,0.992170274,1.022367954,9.57E-05,0,0.998363018,23.33448029,53.59841156,98.67913055,0,1.448830962,58.70825958,100
3,09/12/2017 10:00,99.84359741,0.00171826,16.46552086,1.157019019,0.000150975,0.008799082,18.75638962,998.2578125,1.131800056,0.992170274,1.02235496,9.50E-05,0,0.998060703,23.3329792,53.59700012,98.67397308,0,1.448832035,58.71448135,100
4,09/12/2017 10:00,99.84837341,0.001418168,16.46649933,1.156985998,0.000151979,0.008799221,18.51082993,998.2579956,1.131649971,0.992170274,1.022341967,9.43E-05,0,0.997758389,23.33148003,53.59560013,98.66880035,0,1.448832989,58.72069168,100
5,09/12/2017 10:00,99.8245163,0.001118076,16.46748924,1.15695405,0.000152983,0.008799362,18.51082993,998.2581787,1.131646037,0.992170274,1.022330046,9.37E-05,0,0.997456074,23.32998085,53.59420013,98.66364288,0,1.448833942,58.72689819,100
6,09/12/2017 10:00,99.77205658,4.008059978,16.46846962,1.156921983,0.000153988,0.008799502,18.51082993,998.2583008,1.131641984,0.992170274,1.022317052,9.30E-05,0,0.997601271,23.3284893,53.59280014,98.65847015,0,1.448835015,58.73311996,100
7,09/12/2017 10:00,99.78160095,3.395718098,16.46945,1.156888962,0.000154993,0.008799642,18.51082993,998.2584839,1.131639004,0.991455019,1.022305012,9.23E-05,0,0.997624278,23.32699013,53.59140015,98.65331268,0,1.448835015,58.73933029,100
8,09/12/2017 10:00,99.69338989,2.783375025,16.47043991,1.156857014,0.000155997,0.008799783,18.51082993,998.258728,1.131634951,0.99147737,1.022292018,9.16E-05,0,0.997647285,23.32549095,53.59000015,98.64813995,0,1.448835969,58.74554062,100
9,09/12/2017 10:00,99.6051712,2.392499924,16.47142029,1.156803012,0.000157001,0.008799924,18.8871994,998.2589111,1.131631017,0.991499722,1.022279978,9.10E-05,0,0.997670412,23.32398987,53.58858871,98.64296722,0,1.448837042,58.75175095,100
10,09/12/2017 10:00,99.57656097,2.001624107,16.4724102,1.15674901,0.000158006,0.008800064,18.8871994,998.2589722,1.131628036,0.991522074,1.022266984,9.03E-05,0,0.997693419,23.32249069,53.58718872,98.63780212,0,1.448837996,58.7579689,100
11,09/12/2017 10:00,99.48596191,1.610749006,16.47339058,1.156695962,0.00015901,0.008800204,18.8871994,998.2592163,1.131623983,0.991544425,1.02225399,8.96E-05,0,0.997716427,23.32098961,53.58578873,98.63263702,0,1.448837996,58.76417923,100
